,Date,truckid,nbags,net_weight,origin,supplier,moisture,nut_count,outturn,defective,price,year,month,day,avg_wpb
129,2015-04-17,6612FJ03,432,38684,20,114,9.46,161.0,47.17,8.4,,2015,4,17,89.54629629629629
130,2015-04-17,7922GR01,412,35716,9,84,16.9,183.0,48.14,8.25,,2015,4,17,86.68932038834951
131,2015-04-17,7285FG01,464,39984,43,9,14.16,171.0,47.08,10.2,,2015,4,17,86.17241379310344
132,2015-04-17,2480FH01,415,34897,9,84,18.36,200.0,47.6,11.7,,2015,4,17,84.08915662650602
133,2015-04-17,734GH01,450,38874,9,84,9.93,184.0,46.55,13.2,,2015,4,17,86.38666666666667
134,2015-04-17,4647EE02,250,17950,66,119,16.26,192.0,47.69,9.5,,2015,4,17,71.8
135,2015-04-18,7655GH05,465,41231,2,127,19.1,201.0,45.94,16.0,,2015,4,18,88.66881720430108
136,2015-04-18,3323FN01,454,39458,66,119,8.3,197.0,46.64,13.0,,2015,4,18,86.91189427312776
137,2015-04-18,2256EN01,364,31668,23,121,12.0,180.0,48.84,7.1,,2015,4,18,87.0
138,2015-04-18,2666FG03,436,40764,75,14,8.46,204.0,46.82,9.5,,2015,4,18,93.4954128440367
139,2015-04-18,8853FG02,451,40789,75,14,8.33,202.0,48.05,9.05,,2015,4,18,90.44124168514412
140,2015-04-18,3876EX01,392,34740,9,75,13.33,187.0,48.05,7.45,,2015,4,18,88.62244897959184
141,2015-04-18,1802FY01,455,41577,60,66,9.03,180.0,48.22,8.85,,2015,4,18,91.37802197802198
142,2015-04-20,6091EH01,434,38854,70,18,7.7,166.0,47.17,8.5,,2015,4,20,89.52534562211981
143,2015-04-20,8456GS01,369,33159,60,118,12.0,174.0,47.52,8.3,,2015,4,20,89.86178861788618
144,2015-04-20,2739FL01,486,41002,46,115,13.46,186.0,47.08,7.4,,2015,4,20,84.36625514403292
145,2015-04-20,8111GB01,107,9829,32,35,9.83,180.0,46.11,10.2,,2015,4,20,91.85981308411215
146,2015-04-20,1074FL01,394,37502,29,53,11.7,184.0,47.08,6.9,,2015,4,20,95.18274111675127
147,2015-04-20,4865FH01,380,35308,22,53,12.2,179.0,46.99,8.6,,2015,4,20,92.91578947368421
148,2015-04-20,2766FL07,434,37766,80,62,14.76,200.0,48.75,9.85,,2015,4,20,87.0184331797235
149,2015-04-21,972FP02,419,36221,31,14,10.26,188.0,48.05,7.5,,2015,4,21,86.44630071599045
150,2015-04-21,1424FK01,398,35270,9,75,12.03,189.0,47.87,6.8,,2015,4,21,88.61809045226131
151,2015-04-21,7796EK03,437,39643,69,53,8.33,175.0,46.82,9.33,,2015,4,21,90.7162471395881
152,2015-04-22,8582GC01,412,41048,60,8,8.0,175.0,47.7,8.05,,2015,4,22,99.63106796116504
153,2015-04-22,4094GH01,475,40925,82,115,15.13,170.0,46.64,9.95,,2015,4,22,86.15789473684211
154,2015-04-22,7922GR01,407,36261,9,84,12.56,201.0,45.49,13.1,,2015,4,22,89.0933660933661
155,2015-04-22,2342FP01,420,33712,1,62,15.63,201.0,47.26,17.0,,2015,4,22,80.26666666666667
156,2015-04-22,2182CU03,429,39491,75,14,7.96,192.0,47.08,9.5,,2015,4,22,92.05361305361305
157,2015-04-22,1086FK02,465,39375,66,119,8.53,178.0,44.44,14.69,,2015,4,22,84.6774193548387
158,2015-04-22,6612FJ03,432,38968,40,115,16.23,167.0,47.96,6.85,,2015,4,22,90.20370370370371
159,2015-04-22,2283EY01,430,35902,66,120,11.7,183.0,46.2,13.25,,2015,4,22,83.49302325581395
160,2015-04-22,2480FH01,412,35668,9,84,13.5,191.0,46.2,11.9,,2015,4,22,86.57281553398059
161,2015-04-22,9300ET02,439,40421,66,119,14.3,183.0,47.08,11.5,,2015,4,22,92.0751708428246
162,2015-04-23,8069EZ01,467,41453,60,118,9.73,180.0,46.81,8.15,,2015,4,23,88.7644539614561
163,2015-04-23,7819EL02,465,38835,14,14,9.03,175.0,46.11,10.5,,2015,4,23,83.51612903225806
164,2015-04-23,4497FK02,473,39619,43,114,13.1,194.0,46.2,12.7,,2015,4,23,83.76109936575052
165,2015-04-23,7095BE01,516,39508,66,119,12.7,184.0,44.0,17.7,,2015,4,23,76.56589147286822
166,2015-04-23,734GH01,410,35614,9,84,16.36,196.0,48.31,9.55,,2015,4,23,86.86341463414634
167,2015-04-24,8553FA02,414,39366,66,119,11.4,175.0,45.4,13.05,,2015,4,24,95.08695652173913
168,2015-04-24,2344FP01,380,33256,60,118,8.53,171.0,46.46,7.9,,2015,4,24,87.51578947368421
169,2015-04-24,8622FK01,496,39624,66,119,12.06,188.0,46.9,13.25,,2015,4,24,79.88709677419355
170,2015-04-25,2256EN01,372,33184,41,120,9.96,183.0,47.25,9.95,,2015,4,25,89.20430107526882
171,2015-04-25,2473FE01,455,40813,60,118,9.5,182.0,48.22,7.6,,2015,4,25,89.6989010989011
172,2015-04-25,6091EH01,450,39574,19,18,9.96,177.0,47.08,8.9,,2015,4,25,87.94222222222223
173,2015-04-25,8082GT02,392,34168,9,75,11.16,201.0,49.36,8.8,,2015,4,25,87.16326530612245
174,2015-04-27,2480FH01,361,33347,9,84,12.4,188.0,45.58,13.8,,2015,4,27,92.37396121883657
175,2015-04-27,3460FH01,423,39521,60,118,9.43,175.0,45.67,14.6,,2015,4,27,93.43026004728132
176,2015-04-27,7922GR01,387,34481,9,84,14.26,210.0,45.76,12.9,,2015,4,27,89.09819121447029
177,2015-04-28,5416GC02,429,39735,60,118,8.53,174.0,48.05,6.8,,2015,4,28,92.62237762237763
178,2015-04-28,8554FA02,452,39020,66,119,11.8,194.0,44.17,14.9,,2015,4,28,86.32743362831859
179,2015-04-28,1986FK01,305,29239,1,66,11.23,209.0,43.74,17.3,,2015,4,28,95.8655737704918
180,2015-04-29,7922GR01,419,36721,9,84,14.3,191.0,46.64,13.0,,2015,4,29,87.63961813842482
181,2015-04-29,4755CP01,451,39769,37,53,6.63,191.0,47.78,7.05,,2015,4,29,88.17960088691795
182,2015-04-30,2480FH01,425,36343,9,84,11.53,194.0,47.17,11.5,,2015,4,30,85.51294117647059
183,2015-04-30,6612FJ03,468,40460,35,114,14.43,187.0,43.03,20.9,,2015,4,30,86.45299145299145
184,2015-04-30,3876EX01,407,35417,9,75,13.0,199.0,47.7,7.75,,2015,4,30,87.01965601965603
185,2015-05-02,7922GR01,440,39480,9,84,11.54,196.0,48.04,10.0,,2015,5,2,89.72727272727273
186,2015-05-04,6612FJ03,474,40866,56,114,10.5,170.0,46.99,8.1,,2015,5,4,86.21518987341773
187,2015-05-04,2480FH01,404,35552,9,84,11.5,192.0,45.58,15.7,,2015,5,4,88.0
188,2015-05-05,1424FK01,390,34846,9,75,10.56,193.0,47.52,9.3,,2015,5,5,89.34871794871795
189,2015-05-05,6475FZ04,434,39786,60,118,7.86,170.0,46.99,6.9,,2015,5,5,91.67281105990783
190,2015-05-06,9305ET02,455,38577,66,119,12.4,182.0,44.08,17.35,,2015,5,6,84.78461538461538
191,2015-05-07,7375CB01,425,39227,58,18,12.16,154.0,45.67,9.3,,2015,5,7,92.29882352941176
192,2015-05-08,2480FH01,400,36056,9,84,11.1,191.0,46.2,11.2,,2015,5,8,90.14
193,2015-05-09,1424FK01,403,35237,9,75,11.76,181.0,47.08,7.8,,2015,5,9,87.43672456575682
194,2015-05-09,6864CG02,523,39801,66,119,12.7,190.0,43.2,18.3,,2015,5,9,76.10133843212238
195,2015-05-11,1934CK09,422,37982,60,118,10.56,167.0,43.91,11.25,,2015,5,11,90.00473933649289
196,2015-05-11,2480FH01,402,35738,9,84,11.4,199.0,45.06,15.5,,2015,5,11,88.90049751243781
197,2015-05-11,11JG8350,469,40751,75,14,6.61,196.0,46.29,9.4,,2015,5,11,86.88912579957356
198,2015-05-12,7100GE01,460,39252,66,119,13.0,191.0,42.15,22.5,,2015,5,12,85.33043478260869
199,2015-05-11,3876EX01,400,35376,9,75,10.8,180.0,48.31,7.7,,2015,5,11,88.44
200,2015-05-12,4061FB01,412,38992,60,118,14.3,171.0,44.61,11.55,,2015,5,12,94.64077669902913
201,2015-05-12,8853FL02,523,40485,11,14,9.26,174.0,41.0,19.2,,2015,5,12,77.40917782026769
202,2015-05-13,3986CK02,457,34303,66,119,15.46,170.0,44.08,14.7,,2015,5,13,75.06126914660831
203,2015-05-13,6612FJ03,420,37040,7,114,11.5,175.0,46.11,11.85,,2015,5,13,88.19047619047619
204,2015-05-15,2480FH01,295,25145,9,84,11.33,197.0,47.17,11.0,,2015,5,15,85.23728813559322
205,2015-05-15,1424FK01,390,35326,9,75,12.06,172.0,49.36,6.7,,2015,5,15,90.57948717948717
206,2015-05-15,7772EZ01,447,40665,9,75,14.36,180.0,48.22,8.2,,2015,5,15,90.97315436241611
207,2015-05-16,1424FK01,397,34615,9,75,15.1,175.0,46.99,10.7,,2015,5,16,87.19143576826197
208,2015-05-16,3876EX01,380,34560,9,75,16.6,169.0,48.05,6.9,,2015,5,16,90.94736842105263
209,2015-05-16,1074FL01,459,37843,66,119,15.36,174.0,43.56,19.4,,2015,5,16,82.44662309368192
210,2015-05-18,8111GB01,147,13037,32,70,12.86,172.0,46.64,13.0,,2015,5,18,88.68707482993197
211,2015-05-18,4061FB01,433,38451,60,118,10.5,171.0,45.06,10.2,,2015,5,18,88.8013856812933
212,2015-05-18,5068FL01,495,39941,66,119,15.23,181.0,45.05,17.3,,2015,5,18,80.68888888888888
213,2015-05-19,8082GTH04,399,34917,9,75,13.3,180.0,46.2,11.25,,2015,5,19,87.51127819548873
214,2015-05-21,8560FA02,470,40430,66,119,13.3,177.0,44.7,15.3,,2015,5,21,86.02127659574468
215,2015-05-23,378FK01,435,36809,66,119,14.6,169.0,44.44,12.95,,2015,5,23,84.6183908045977
216,2015-05-26,7922GR01,420,36700,44,20,10.5,172.0,44.08,20.5,,2015,5,26,87.38095238095238
217,2015-05-26,122CG01,436,36968,71,108,13.93,172.0,40.65,21.05,,2015,5,26,84.78899082568807
218,2015-05-28,1424FK01,412,36340,36,20,11.56,200.0,47.67,10.1,,2015,5,28,88.20388349514563
219,2015-05-28,3876EX01,428,36972,36,20,11.46,197.0,47.25,11.95,,2015,5,28,86.38317757009345
220,2015-05-29,2480FH01,428,36344,44,20,11.59,204.0,43.2,15.3,,2015,5,29,84.91588785046729
221,2015-06-01,7796EK03,369,37843,21,60,11.1,195.0,42.0,17.2,,2015,6,1,102.55555555555556
222,2015-06-04,487GH01,445,35563,71,108,13.0,190.0,41.53,24.2,,2015,6,4,79.91685393258427
223,2016-03-10,8111GB01,201,18567,32,32,13.0,190.0,47.43,14.09,525.0,2016,3,10,92.3731343283582
224,2016-03-10,269EG02,464,40148,66,43,11.6,195.0,47.69,12.4,550.0,2016,3,10,86.52586206896552
225,2016-03-10,2081GA03,376,35584,82,107,8.53,198.0,46.46,12.2,575.0,2016,3,10,94.63829787234043
226,2016-03-14,7633FU02,467,40817,66,43,12.6,200.0,45.84,15.6,580.0,2016,3,14,87.40256959314775
227,2016-03-14,4376AY01,271,26433,32,32,11.9,185.0,48.04,9.9,550.0,2016,3,14,97.53874538745387
228,2016-03-14,9821FJ04,442,40866,19,34,10.5,196.0,47.34,9.8,600.0,2016,3,14,92.45701357466064
229,2016-03-15,6763FV01,474,40050,66,43,18.0,189.0,45.4,12.8,590.0,2016,3,15,84.49367088607595
230,2016-03-16,4070GZ01,441,39559,66,43,14.0,187.0,46.11,13.9,590.0,2016,3,16,89.70294784580499
231,2016-03-16,8010EJ01,416,40088,82,107,21.2,174.0,44.35,14.8,600.0,2016,3,16,96.36538461538461
232,2016-03-17,833GG01,446,36998,87,43,13.2,187.0,46.28,13.3,590.0,2016,3,17,82.95515695067265
233,2016-03-17,3510GY01,423,37573,87,43,12.3,194.0,46.12,14.3,590.0,2016,3,17,88.82505910165484
